id,cliente_id,producto_id,cantidad,fecha,importe,estado
1,2,2,2,2023-01-08,226.66,completado
2,3,3,3,2023-01-15,114.71,completado
3,4,4,4,2023-01-22,241.86,completado
4,5,5,5,2023-01-29,451.58,completado
5,6,6,1,2023-02-05,400.05,completado
6,7,7,2,2023-02-12,93.15,completado
7,8,8,3,2023-02-19,51.55,cancelado
8,9,9,4,2023-02-26,262.57,cancelado
9,10,10,5,2023-03-05,320.14,devuelto
10,11,11,1,2023-03-12,174.24,completado
11,12,12,2,2023-03-19,411.03,completado
12,13,13,3,2023-03-26,378.06,completado
13,14,14,4,2023-04-02,339.67,completado
14,15,15,5,2023-04-09,120.07,completado
15,16,16,1,2023-04-16,107.57,completado
16,17,17,2,2023-04-23,21.97,completado
17,18,18,3,2023-04-30,129.97,cancelado
18,19,19,4,2023-05-07,242.82,cancelado
19,20,20,5,2023-05-14,426.37,devuelto
20,21,21,1,2023-05-21,45.69,completado
21,22,22,2,2023-05-28,213.08,completado
22,23,23,3,2023-06-04,318.59,completado
23,24,24,4,2023-06-11,105.27,completado
24,25,25,5,2023-06-18,351.21,completado
25,26,26,1,2023-06-25,252.24,completado
26,27,27,2,2023-07-02,129.55,completado
27,28,28,3,2023-07-09,331.47,cancelado
28,29,29,4,2023-07-16,12.72,cancelado
29,30,30,5,2023-07-23,377.97,devuelto
30,31,31,1,2023-07-30,387.32,completado
31,32,32,2,2023-08-06,62.23,completado
32,33,33,3,2023-08-13,218.32,completado
33,34,34,4,2023-08-20,96.18,completado
34,35,35,5,2023-08-27,479.4,completado
35,36,36,1,2023-09-03,263.8,completado
36,37,37,2,2023-09-10,34.61,completado
37,38,38,3,2023-09-17,132.11,cancelado
38,39,39,4,2023-09-24,425.68,cancelado
39,40,40,5,2023-10-01,233.67,devuelto
40,41,41,1,2023-10-08,402.69,completado
41,42,42,2,2023-10-15,337.11,completado
42,43,43,3,2023-10-22,494.07,completado
43,44,44,4,2023-10-29,301.77,completado
44,45,45,5,2023-11-05,475.52,completado
45,46,46,1,2023-11-12,446.8,completado
46,47,47,2,2023-11-19,310.2,completado
47,48,48,3,2023-11-26,362.44,cancelado
48,49,49,4,2023-12-03,257.34,cancelado
49,50,50,5,2023-12-10,416.98,devuelto
50,51,51,1,2023-12-17,278.46,completado
51,52,52,2,2023-12-24,449.63,completado
52,53,53,3,2023-12-31,374.39,completado
53,54,54,4,2024-01-07,242.59,completado
54,55,55,5,2024-01-14,137.0,completado
55,56,56,1,2024-01-21,131.15,completado
56,57,57,2,2024-01-28,322.45,completado
57,58,58,3,2024-02-04,385.25,cancelado
58,59,59,4,2024-02-11,265.44,cancelado
59,60,60,5,2024-02-18,317.11,devuelto
60,61,61,1,2024-02-25,144.55,completado
61,62,62,2,2024-03-03,47.97,completado
62,63,63,3,2024-03-10,150.01,completado
63,64,64,4,2024-03-17,143.14,completado
64,65,65,5,2024-03-24,166.66,completado
65,66,66,1,2024-03-31,274.67,completado
66,67,67,2,2024-04-07,77.8,completado
67,68,68,3,2024-04-14,123.32,cancelado
68,69,69,4,2024-04-21,350.04,cancelado
69,70,70,5,2024-04-28,356.15,devuelto
70,71,71,1,2024-05-05,41.47,completado
71,72,72,2,2024-05-12,209.72,completado
72,73,73,3,2024-05-19,275.88,completado
73,74,74,4,2024-05-26,213.73,completado
74,75,75,5,2024-06-02,111.35,completado
75,76,76,1,2024-06-09,215.87,completado
76,77,77,2,2024-06-16,453.37,completado
77,78,78,3,2024-06-23,296.2,cancelado
78,79,79,4,2024-06-30,350.81,cancelado
79,80,80,5,2024-07-07,429.8,devuelto
80,81,81,1,2024-07-14,385.14,completado
81,82,82,2,2024-07-21,196.39,completado
82,83,83,3,2024-07-28,12.89,completado
83,84,84,4,2024-08-04,182.36,completado
84,85,85,5,2024-08-11,379.2,completado
85,86,86,1,2024-08-18,428.19,completado
86,87,87,2,2024-08-25,477.18,completado
87,88,88,3,2024-09-01,215.32,cancelado
88,89,89,4,2024-09-08,376.28,cancelado
89,90,90,5,2024-09-15,277.6,devuelto
90,91,91,1,2024-09-22,305.59,completado
91,92,92,2,2024-09-29,118.06,completado
92,93,93,3,2024-10-06,117.52,completado
93,94,94,4,2024-10-13,223.56,completado
94,95,95,5,2024-10-20,24.22,completado
95,96,96,1,2024-10-27,174.7,completado
96,97,97,2,2024-11-03,342.78,completado
97,98,98,3,2024-11-10,208.12,cancelado
98,99,99,4,2024-11-17,90.87,cancelado
99,100,100,5,2024-11-24,239.02,devuelto
100,101,101,1,2024-12-01,72.54,completado
101,102,102,2,2024-12-08,314.91,completado
102,103,103,3,2024-12-15,23.21,completado
103,104,104,4,2024-12-22,203.07,completado
104,105,105,5,2024-12-29,286.55,completado
105,106,106,1,2023-01-06,23.28,completado
106,107,107,2,2023-01-13,324.95,completado
107,108,108,3,2023-01-20,76.49,cancelado
108,109,109,4,2023-01-27,236.23,cancelado
109,110,110,5,2023-02-03,34.64,devuelto
110,111,111,1,2023-02-10,195.76,completado
111,112,112,2,2023-02-17,113.71,completado
112,113,113,3,2023-02-24,170.15,completado
113,114,114,4,2023-03-03,383.0,completado
114,115,115,5,2023-03-10,195.77,completado
115,116,116,1,2023-03-17,378.48,completado
116,117,117,2,2023-03-24,417.64,completado
117,118,118,3,2023-03-31,133.61,cancelado
118,119,119,4,2023-04-07,50.13,cancelado
119,120,120,5,2023-04-14,19.5,devuelto
120,121,121,1,2023-04-21,274.32,completado
121,122,122,2,2023-04-28,499.95,completado
122,123,123,3,2023-05-05,181.48,completado
123,124,124,4,2023-05-12,328.57,completado
124,125,125,5,2023-05-19,392.8,completado
125,126,126,1,2023-05-26,329.36,completado
126,127,127,2,2023-06-02,379.57,completado
127,128,128,3,2023-06-09,475.31,cancelado
128,129,129,4,2023-06-16,107.69,cancelado
129,130,130,5,2023-06-23,19.99,devuelto
130,131,131,1,2023-06-30,84.67,completado
131,132,132,2,2023-07-07,71.85,completado
132,133,133,3,2023-07-14,338.03,completado
133,134,134,4,2023-07-21,286.35,completado
134,135,135,5,2023-07-28,116.8,completado
135,136,136,1,2023-08-04,352.74,completado
136,137,137,2,2023-08-11,385.78,completado
137,138,138,3,2023-08-18,92.22,cancelado
138,139,139,4,2023-08-25,307.55,cancelado
139,140,140,5,2023-09-01,376.48,devuelto
140,141,141,1,2023-09-08,66.12,completado
141,142,142,2,2023-09-15,411.46,completado
142,143,143,3,2023-09-22,482.71,completado
143,144,144,4,2023-09-29,62.97,completado
144,145,145,5,2023-10-06,22.58,completado
145,146,146,1,2023-10-13,162.86,completado
146,147,147,2,2023-10-20,341.9,completado
147,148,148,3,2023-10-27,479.5,cancelado
148,149,149,4,2023-11-03,204.36,cancelado
149,150,150,5,2023-11-10,360.36,devuelto
150,151,151,1,2023-11-17,47.24,completado
151,152,152,2,2023-11-24,348.4,completado
152,153,153,3,2023-12-01,317.35,completado
153,154,154,4,2023-12-08,59.93,completado
154,155,155,5,2023-12-15,388.52,completado
155,156,156,1,2023-12-22,426.64,completado
156,157,157,2,2023-12-29,304.2,completado
157,158,158,3,2024-01-05,69.32,cancelado
158,159,159,4,2024-01-12,492.08,cancelado
159,160,160,5,2024-01-19,393.49,devuelto
160,161,161,1,2024-01-26,180.13,completado
161,162,162,2,2024-02-02,219.91,completado
162,163,163,3,2024-02-09,191.58,completado
163,164,164,4,2024-02-16,257.92,completado
164,165,165,5,2024-02-23,177.2,completado
165,166,166,1,2024-03-01,426.29,completado
166,167,167,2,2024-03-08,412.94,completado
167,168,168,3,2024-03-15,61.71,cancelado
168,169,169,4,2024-03-22,480.79,cancelado
169,170,170,5,2024-03-29,321.44,devuelto
170,171,171,1,2024-04-05,416.07,completado
171,172,172,2,2024-04-12,356.58,completado
172,173,173,3,2024-04-19,223.39,completado
173,174,174,4,2024-04-26,369.56,completado
174,175,175,5,2024-05-03,483.08,completado
175,176,176,1,2024-05-10,142.34,completado
176,177,177,2,2024-05-17,406.02,completado
177,178,178,3,2024-05-24,273.7,cancelado
178,179,179,4,2024-05-31,246.91,cancelado
179,180,180,5,2024-06-07,223.43,devuelto
180,181,181,1,2024-06-14,368.2,completado
