id,nombre,categoria,categoria_id,precio,stock
1,Portátil Pro 1,Hogar,2,132.89,12
2,Auriculares BT 2,Ropa,3,60.01,111
3,Lámpara LED 3,Deportes,4,152.29,338
4,Camiseta Sport 4,Libros,5,183.44,43
5,Libro SQL 5,Electrónica,1,89.38,14
6,Teclado Mech 6,Hogar,2,48.73,252
7,Sofá Comfort 7,Ropa,3,10.31,99
8,Zapatillas Run 8,Deportes,4,134.98,272
9,Balón Pro 9,Libros,5,49.09,294
10,Monitor 4K 10,Electrónica,1,166.89,3
11,Portátil Pro 11,Hogar,2,166.16,349
12,Auriculares BT 12,Ropa,3,73.05,77
13,Lámpara LED 13,Deportes,4,196.44,168
14,Camiseta Sport 14,Libros,5,23.55,48
15,Libro SQL 15,Electrónica,1,174.5,301
16,Teclado Mech 16,Hogar,2,166.43,364
17,Sofá Comfort 17,Ropa,3,112.25,486
18,Zapatillas Run 18,Deportes,4,80.71,276
19,Balón Pro 19,Libros,5,170.88,309
20,Monitor 4K 20,Electrónica,1,177.34,288
21,Portátil Pro 21,Hogar,2,145.91,22
22,Auriculares BT 22,Ropa,3,50.58,144
23,Lámpara LED 23,Deportes,4,20.96,116
24,Camiseta Sport 24,Libros,5,25.2,138
25,Libro SQL 25,Electrónica,1,132.14,182
26,Teclado Mech 26,Hogar,2,79.04,104
27,Sofá Comfort 27,Ropa,3,58.4,468
28,Zapatillas Run 28,Deportes,4,134.61,304
29,Balón Pro 29,Libros,5,39.23,364
30,Monitor 4K 30,Electrónica,1,37.68,189
31,Portátil Pro 31,Hogar,2,202.9,319
32,Auriculares BT 32,Ropa,3,116.39,342
33,Lámpara LED 33,Deportes,4,173.57,387
34,Camiseta Sport 34,Libros,5,50.81,16
35,Libro SQL 35,Electrónica,1,68.09,133
36,Teclado Mech 36,Hogar,2,47.2,471
37,Sofá Comfort 37,Ropa,3,180.27,157
38,Zapatillas Run 38,Deportes,4,136.09,197
39,Balón Pro 39,Libros,5,187.91,229
40,Monitor 4K 40,Electrónica,1,57.98,123
41,Portátil Pro 41,Hogar,2,117.27,131
42,Auriculares BT 42,Ropa,3,121.92,448
43,Lámpara LED 43,Deportes,4,84.88,109
44,Camiseta Sport 44,Libros,5,204.51,254
45,Libro SQL 45,Electrónica,1,23.18,23
46,Teclado Mech 46,Hogar,2,26.93,313
47,Sofá Comfort 47,Ropa,3,163.42,211
48,Zapatillas Run 48,Deportes,4,17.71,190
49,Balón Pro 49,Libros,5,204.22,264
50,Monitor 4K 50,Electrónica,1,199.22,430
51,Portátil Pro 51,Hogar,2,7.3,360
52,Auriculares BT 52,Ropa,3,141.34,268
53,Lámpara LED 53,Deportes,4,58.37,320
54,Camiseta Sport 54,Libros,5,27.31,217
55,Libro SQL 55,Electrónica,1,95.74,476
56,Teclado Mech 56,Hogar,2,180.17,131
57,Sofá Comfort 57,Ropa,3,105.12,89
58,Zapatillas Run 58,Deportes,4,187.53,435
59,Balón Pro 59,Libros,5,64.69,319
60,Monitor 4K 60,Electrónica,1,126.79,76
61,Portátil Pro 61,Hogar,2,157.5,269
62,Auriculares BT 62,Ropa,3,160.73,265
63,Lámpara LED 63,Deportes,4,5.11,162
64,Camiseta Sport 64,Libros,5,8.9,464
65,Libro SQL 65,Electrónica,1,180.74,415
66,Teclado Mech 66,Hogar,2,66.5,28
67,Sofá Comfort 67,Ropa,3,180.6,473
68,Zapatillas Run 68,Deportes,4,22.13,242
69,Balón Pro 69,Libros,5,18.84,380
70,Monitor 4K 70,Electrónica,1,158.17,64
71,Portátil Pro 71,Hogar,2,100.06,274
72,Auriculares BT 72,Ropa,3,58.01,436
73,Lámpara LED 73,Deportes,4,89.63,105
74,Camiseta Sport 74,Libros,5,112.86,364
75,Libro SQL 75,Electrónica,1,45.23,155
76,Teclado Mech 76,Hogar,2,204.03,324
77,Sofá Comfort 77,Ropa,3,92.62,258
78,Zapatillas Run 78,Deportes,4,29.2,112
79,Balón Pro 79,Libros,5,72.62,294
80,Monitor 4K 80,Electrónica,1,51.02,110
81,Portátil Pro 81,Hogar,2,19.2,315
82,Auriculares BT 82,Ropa,3,50.79,452
83,Lámpara LED 83,Deportes,4,176.93,35
84,Camiseta Sport 84,Libros,5,52.6,334
85,Libro SQL 85,Electrónica,1,47.85,66
86,Teclado Mech 86,Hogar,2,192.1,285
87,Sofá Comfort 87,Ropa,3,99.53,392
88,Zapatillas Run 88,Deportes,4,166.5,95
89,Balón Pro 89,Libros,5,24.39,215
90,Monitor 4K 90,Electrónica,1,89.72,233
91,Portátil Pro 91,Hogar,2,150.82,336
92,Auriculares BT 92,Ropa,3,201.83,49
93,Lámpara LED 93,Deportes,4,85.52,169
94,Camiseta Sport 94,Libros,5,177.33,124
95,Libro SQL 95,Electrónica,1,43.04,224
96,Teclado Mech 96,Hogar,2,89.38,139
97,Sofá Comfort 97,Ropa,3,54.96,461
98,Zapatillas Run 98,Deportes,4,93.63,430
99,Balón Pro 99,Libros,5,115.07,25
100,Monitor 4K 100,Electrónica,1,204.86,418
101,Portátil Pro 101,Hogar,2,198.8,463
102,Auriculares BT 102,Ropa,3,174.74,83
103,Lámpara LED 103,Deportes,4,102.13,106
104,Camiseta Sport 104,Libros,5,85.21,29
105,Libro SQL 105,Electrónica,1,80.79,492
106,Teclado Mech 106,Hogar,2,58.04,392
107,Sofá Comfort 107,Ropa,3,96.0,211
108,Zapatillas Run 108,Deportes,4,196.46,497
109,Balón Pro 109,Libros,5,116.15,359
110,Monitor 4K 110,Electrónica,1,35.96,148
111,Portátil Pro 111,Hogar,2,198.74,289
112,Auriculares BT 112,Ropa,3,113.44,373
113,Lámpara LED 113,Deportes,4,16.43,292
114,Camiseta Sport 114,Libros,5,105.57,426
115,Libro SQL 115,Electrónica,1,36.49,480
116,Teclado Mech 116,Hogar,2,21.02,92
117,Sofá Comfort 117,Ropa,3,124.01,337
118,Zapatillas Run 118,Deportes,4,52.04,59
119,Balón Pro 119,Libros,5,183.06,123
120,Monitor 4K 120,Electrónica,1,123.9,309
121,Portátil Pro 121,Hogar,2,88.84,291
122,Auriculares BT 122,Ropa,3,109.56,467
123,Lámpara LED 123,Deportes,4,45.85,358
124,Camiseta Sport 124,Libros,5,52.74,197
125,Libro SQL 125,Electrónica,1,139.34,149
126,Teclado Mech 126,Hogar,2,68.24,375
127,Sofá Comfort 127,Ropa,3,19.51,229
128,Zapatillas Run 128,Deportes,4,204.69,498
129,Balón Pro 129,Libros,5,19.65,106
130,Monitor 4K 130,Electrónica,1,58.04,466
131,Portátil Pro 131,Hogar,2,181.17,439
132,Auriculares BT 132,Ropa,3,78.91,78
133,Lámpara LED 133,Deportes,4,171.75,351
134,Camiseta Sport 134,Libros,5,127.34,493
135,Libro SQL 135,Electrónica,1,135.8,3
136,Teclado Mech 136,Hogar,2,168.42,149
137,Sofá Comfort 137,Ropa,3,137.68,469
138,Zapatillas Run 138,Deportes,4,31.86,57
139,Balón Pro 139,Libros,5,26.41,276
140,Monitor 4K 140,Electrónica,1,59.47,302
141,Portátil Pro 141,Hogar,2,148.52,101
142,Auriculares BT 142,Ropa,3,131.85,131
143,Lámpara LED 143,Deportes,4,102.71,452
144,Camiseta Sport 144,Libros,5,174.22,46
145,Libro SQL 145,Electrónica,1,89.72,138
146,Teclado Mech 146,Hogar,2,5.71,385
147,Sofá Comfort 147,Ropa,3,132.42,130
148,Zapatillas Run 148,Deportes,4,153.25,275
149,Balón Pro 149,Libros,5,90.54,4
150,Monitor 4K 150,Electrónica,1,20.05,441
151,Portátil Pro 151,Hogar,2,185.79,272
152,Auriculares BT 152,Ropa,3,171.92,291
153,Lámpara LED 153,Deportes,4,34.62,63
154,Camiseta Sport 154,Libros,5,66.65,449
155,Libro SQL 155,Electrónica,1,164.22,430
156,Teclado Mech 156,Hogar,2,184.78,105
157,Sofá Comfort 157,Ropa,3,54.91,51
158,Zapatillas Run 158,Deportes,4,161.02,442
159,Balón Pro 159,Libros,5,86.28,310
160,Monitor 4K 160,Electrónica,1,35.91,464
161,Portátil Pro 161,Hogar,2,177.92,488
162,Auriculares BT 162,Ropa,3,167.15,440
163,Lámpara LED 163,Deportes,4,9.96,368
164,Camiseta Sport 164,Libros,5,71.44,465
165,Libro SQL 165,Electrónica,1,165.45,432
166,Teclado Mech 166,Hogar,2,167.15,133
167,Sofá Comfort 167,Ropa,3,162.47,54
168,Zapatillas Run 168,Deportes,4,179.43,429
169,Balón Pro 169,Libros,5,49.49,408
170,Monitor 4K 170,Electrónica,1,97.06,152
171,Portátil Pro 171,Hogar,2,164.07,113
172,Auriculares BT 172,Ropa,3,9.73,96
173,Lámpara LED 173,Deportes,4,70.65,432
174,Camiseta Sport 174,Libros,5,198.38,139
175,Libro SQL 175,Electrónica,1,133.3,199
176,Teclado Mech 176,Hogar,2,201.23,268
177,Sofá Comfort 177,Ropa,3,192.85,57
178,Zapatillas Run 178,Deportes,4,199.08,89
179,Balón Pro 179,Libros,5,197.51,132
180,Monitor 4K 180,Electrónica,1,26.68,217
181,Portátil Pro 181,Hogar,2,150.71,156
182,Auriculares BT 182,Ropa,3,126.24,255
183,Lámpara LED 183,Deportes,4,82.04,288
184,Camiseta Sport 184,Libros,5,55.94,354
185,Libro SQL 185,Electrónica,1,5.34,462
186,Teclado Mech 186,Hogar,2,112.69,359
187,Sofá Comfort 187,Ropa,3,153.39,335
188,Zapatillas Run 188,Deportes,4,77.84,34
189,Balón Pro 189,Libros,5,137.85,165
190,Monitor 4K 190,Electrónica,1,67.78,424
191,Portátil Pro 191,Hogar,2,148.95,150
192,Auriculares BT 192,Ropa,3,66.86,204
193,Lámpara LED 193,Deportes,4,85.48,147
194,Camiseta Sport 194,Libros,5,30.46,210
195,Libro SQL 195,Electrónica,1,193.07,338
196,Teclado Mech 196,Hogar,2,185.56,307
197,Sofá Comfort 197,Ropa,3,65.19,273
198,Zapatillas Run 198,Deportes,4,5.08,143
199,Balón Pro 199,Libros,5,90.98,289
200,Monitor 4K 200,Electrónica,1,135.94,232
