fecha,importe_diario
2024-01-01,684
2024-01-02,1245
2024-01-03,672
2024-01-04,1049
2024-01-05,938
2024-01-06,662
2024-01-07,1354
2024-01-08,1454
2024-01-09,1047
2024-01-10,988
2024-01-11,934
2024-01-12,914
2024-01-13,1237
2024-01-14,1276
2024-01-15,1137
2024-01-16,1069
2024-01-17,993
2024-01-18,878
2024-01-19,1124
2024-01-20,812
2024-01-21,1210
2024-01-22,502
2024-01-23,1233
2024-01-24,1130
2024-01-25,1063
2024-01-26,904
2024-01-27,1130
2024-01-28,767
2024-01-29,1245
2024-01-30,1495
2024-01-31,739
2024-02-01,914
2024-02-02,688
2024-02-03,833
2024-02-04,526
2024-02-05,573
2024-02-06,577
2024-02-07,620
2024-02-08,1433
2024-02-09,1008
2024-02-10,505
2024-02-11,544
2024-02-12,504
2024-02-13,1037
2024-02-14,640
2024-02-15,627
2024-02-16,555
2024-02-17,735
2024-02-18,1249
2024-02-19,542
2024-02-20,1086
2024-02-21,1075
2024-02-22,859
2024-02-23,1485
2024-02-24,549
2024-02-25,1071
2024-02-26,530
2024-02-27,924
2024-02-28,570
2024-02-29,946
2024-03-01,1335
2024-03-02,515
2024-03-03,592
2024-03-04,970
2024-03-05,1036
2024-03-06,763
2024-03-07,965
2024-03-08,852
2024-03-09,1065
2024-03-10,1221
2024-03-11,1268
2024-03-12,1404
2024-03-13,691
2024-03-14,543
2024-03-15,892
2024-03-16,824
2024-03-17,1236
2024-03-18,1014
2024-03-19,1129
2024-03-20,1002
2024-03-21,962
2024-03-22,929
2024-03-23,538
2024-03-24,964
2024-03-25,1419
2024-03-26,621
2024-03-27,519
2024-03-28,1329
2024-03-29,848
2024-03-30,653
2024-03-31,805
2024-04-01,1370
2024-04-02,515
2024-04-03,1322
2024-04-04,1452
2024-04-05,626
2024-04-06,963
2024-04-07,1335
2024-04-08,560
2024-04-09,1190
2024-04-10,1172
2024-04-11,654
2024-04-12,1407
2024-04-13,1414
2024-04-14,1161
2024-04-15,1443
2024-04-16,1108
2024-04-17,757
2024-04-18,1266
2024-04-19,1243
2024-04-20,931
2024-04-21,799
2024-04-22,1036
